Url,Venue Name,Phone,Venue Highlights,Guest Capacity,Address
https://www.wedding-spot.com/venue/2292/smooth-sailing-celebrations/,Smooth Sailing Celebrations,9737151091,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Upgraded rentals included",1200,"Lincoln Harbor Marina , 1500 Harbor Boulevard"
https://www.wedding-spot.com/venue/714/pleasantdale-chateau/,Pleasantdale Chateau,9737315600,"2x award winner, Indoor and outdoor spaces, Rentals included",350,"757 Eagle Rock Avenue , West Orange, NJ 07052"
https://www.wedding-spot.com/venue/12618/lakewood-blueclaws-at-firstenergy-park/,Lakewood BlueClaws at FirstEnergy Park,7329017000,"Indoor and outdoor spaces, BYO, Valet parking",350,"2 Stadium Way , Lakewood, NJ 08701"
https://www.wedding-spot.com/venue/2285/kimpton-eventi/,Kimpton Eventi,6467946837,"Award winner, Indoor and outdoor spaces, Upgraded rentals included",160,"851 6th Avenue , New York, NY 10001"
https://www.wedding-spot.com/venue/703/francescas-touch-of-class-premium-luxury-yachts/,Francesca's Touch of Class - Premium Luxury Yachts,9179680794,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Rentals included",1200,"West 41st Street , West Side HWY, Pier 81"
https://www.wedding-spot.com/venue/1696/mallard-island-yacht-club/,Mallard Island Yacht Club,9086819000,"Accommodation offered, Rentals included, Valet parking",250,"1450 East Bay Avenue , Manahawkin, NJ 08050"
https://www.wedding-spot.com/venue/3673/tarrytown-house-estate/,Tarrytown House Estate,9145913114,"Accommodation offered, Indoor and outdoor spaces, Rentals included",300,"49 East Sunnyside Lane , Tarrytown, NY 10591"
https://www.wedding-spot.com/venue/14351/intercontinental-new-york-barclay/,InterContinental New York Barclay,N/A,"Upgraded rentals included, Rentals included, Valet parking",350,"111 East 48th Street , New York, NY 10017"
https://www.wedding-spot.com/venue/18149/the-lake-house-on-canandaigua/,The Lake House on Canandaigua,5853947805,"Indoor and outdoor spaces, Valet parking",200,"770 South Main Street , Canandaigua, NY 14424"
https://www.wedding-spot.com/venue/15185/oheka-castle/,OHEKA CASTLE,6316591402,"Indoor and outdoor spaces, Rentals included",350,"135 West Gate Drive , Huntington, NY 11743"
https://www.wedding-spot.com/venue/817/pinecrest-country-club/,PineCrest Country Club,2158554113,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",260,"101 Country Club Drive , Lansdale, PA 19446"
https://www.wedding-spot.com/venue/1219/seaview-a-dolce-hotel/,"Seaview, A Dolce Hotel",6097487648,"Award winner, Accommodation offered, Indoor and outdoor spaces",400,"401 South New York Road , Galloway, NJ 08205"
https://www.wedding-spot.com/venue/1215/the-breakers-on-the-ocean/,The Breakers on the Ocean,7324497700,"Award winner, Indoor and outdoor spaces, Rentals included",220,"1507 Ocean Avenue , Spring Lake"
https://www.wedding-spot.com/venue/1197/the-smithville-inn/,The Smithville Inn,6096527777,"Indoor and outdoor spaces, Rentals included, Valet parking",170,"1 North New York Road (Route 9) , Galloway, NJ 08205"
https://www.wedding-spot.com/venue/1601/bonnet-island-estate/,Bonnet Island Estate,9086819000,"Award winner, Rentals included, Valet parking",250,"2400 East Bay Avenue , Manahawkin, NJ 08050"
https://www.wedding-spot.com/venue/1695/ashford-estate/,Ashford Estate,9086819000,"2x award winner, Rentals included, Valet parking",275,"637 Province Line Road , Allentown, NJ 08501"
https://www.wedding-spot.com/venue/1120/greate-bay/,Greate Bay,6099275071,"Award winner, Indoor and outdoor spaces, Rentals included",300,"901 Mays Landing Road , Somers Point, NJ 08244"
https://www.wedding-spot.com/venue/1014/avalon-yacht-club/,Avalon Yacht Club,6099674444,"Indoor and outdoor spaces, Rentals included, Valet parking",225,"704 7th Street , Avalon, NJ 08202"
https://www.wedding-spot.com/venue/746/linwood-country-club/,Linwood Country Club,6099276134,"Indoor and outdoor spaces, BYO, Rentals included",275,"500 Shore Road , Linwood, NJ 08221"
https://www.wedding-spot.com/venue/749/battleground-country-club/,Battleground Country Club,7324627575,"Indoor and outdoor spaces, Valet parking",400,"1 Covenhoven Road , Manalapan, NJ 07726"
https://www.wedding-spot.com/venue/1466/chart-house-atlantic-city/,Chart House Atlantic City,6093405031,"Rentals included, Valet parking",65,"Golden Nugget Hotel & Casino , Brigantine Boulevard"
https://www.wedding-spot.com/venue/768/ocean-club-hotel/,Ocean Club Hotel,6098847000,"Indoor and outdoor spaces, Valet parking",150,"1035 Beach Avenue , Cape May, NJ 08204"
https://www.wedding-spot.com/venue/760/ron-jaworskis-valleybrook-country-club/,Ron Jaworski's Valleybrook Country Club,8562273171,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",220,"200 Golfview Drive , Blackwood, NJ 08012"
https://www.wedding-spot.com/venue/750/the-shore-club/,The Shore Club,7324493666,"Indoor and outdoor spaces, Rentals included, Valet parking",250,"700 Highway 71 , Spring Lake, NJ 07762"
https://www.wedding-spot.com/venue/739/nicolosi-caterers/,Nicolosi Caterers,8568453437,"Indoor and outdoor spaces, Rentals included, Valet parking",400,"1 Hessian Avenue , West Deptford, NJ 08096"
https://www.wedding-spot.com/venue/727/ron-jaworskis-ramblewood-country-club/,Ron Jaworski's Ramblewood Country Club,8562352118,"Award winner, Indoor and outdoor spaces, Valet parking",400,"200 Country Club Parkway , Mount Laurel, NJ 08054"
https://www.wedding-spot.com/venue/700/the-gables-historic-inn-restaurant/,The Gables Historic Inn & Restaurant,9178363900,"Indoor and outdoor spaces, BYO, Upgraded rentals included",200,"212 Centre Street  , Beach Haven, NJ 08008"
https://www.wedding-spot.com/venue/696/colts-neck-inn-steak-chop-house/,Colts Neck Inn Steak & Chop House,7324620383,"Indoor and outdoor spaces, Rentals included, Valet parking",180,"6 County Road, Route 537 West , Colts Neck, NJ 07722"
https://www.wedding-spot.com/venue/683/wildwoods-convention-center/,Wildwoods Convention Center,6098462664,"Indoor and outdoor spaces, Rentals included, Valet parking",1400,"4501 Boardwalk , Wildwood, NJ 08260"
https://www.wedding-spot.com/venue/664/molly-pitcher-inn/,Molly Pitcher Inn,7325308200,"Accommodation offered, Indoor and outdoor spaces, Valet parking",300,"88 Riverside Avenue , Red Bank, NJ 07701"
https://www.wedding-spot.com/venue/663/oyster-point-hotel/,Oyster Point Hotel,7325308200,"Rentals included, Valet parking",220,"146 Bodman Place , Red Bank, NJ 07701"
https://www.wedding-spot.com/venue/661/the-grand-hotel/,The Grand Hotel,6098845611,"Indoor and outdoor spaces, Valet parking",300,"1045 Beach Avenue  , Cape May, NJ 08204"
https://www.wedding-spot.com/venue/599/waters-edge-on-the-bay/,Waters Edge on the Bay,7322693000,"Award winner, Indoor and outdoor spaces, Rentals included",200,"125 Bayview Avenue , Bayville, NJ 08721"
https://www.wedding-spot.com/venue/1780/moorestown-community-house/,Moorestown Community House,8562350326,"Indoor and outdoor spaces, BYO, Valet parking",200,"16 East Main Street , Moorestown, NJ 08057"
https://www.wedding-spot.com/venue/598/crystal-ballroom-at-the-radisson-freehold/,Crystal Ballroom at the Radisson Freehold,7327803405,"Award winner, Indoor and outdoor spaces, Rentals included",1,"50 Gibson Place , Freehold, NJ 07728"
https://www.wedding-spot.com/venue/597/sterling-ballroom-at-the-doubletree-by-hilton-tinton-falls/,Sterling Ballroom at the DoubleTree by Hilton Tinton Falls,7327803405,"3x award winner, Indoor and outdoor spaces, Upgraded rentals included",1,"700 Hope Road , Tinton Falls, NJ 07724"
https://www.wedding-spot.com/venue/596/atlantis-ballroom-at-the-days-hotel-toms-river-jersey-shore/,Atlantis Ballroom at the Days Hotel Toms River - Jersey Shore,7327803405,N/A,1,"290 Route 37 East , Toms River, NJ 08753"
https://www.wedding-spot.com/venue/595/versailles-ballroom-at-the-ramada-toms-river/,Versailles Ballroom at the Ramada Toms River,7327191206,"Upgraded rentals included, Rentals included",1,"2373 Route 9 , Toms River, NJ 08755"
